latitude,longitude,name,label
-34.6288473603881,-58.3775508488443,HOSP. DE ELIZALDE,"40 MONTES DE OCA, MANUEL AV."
-34.5941919726393,-58.4120700769456,HOSP. GUTIERREZ,1330 GALLO
-34.5845283357505,-58.4027276547828,HOSP. ODONTOLOGICO CARRILLO,2529 SANCHEZ DE BUSTAMANTE
-34.6394041316484,-58.3851559118889,HOSP. MOYANO,2570 BRANDSEN
-34.6341535760002,-58.3913114406535,HOSP. UDAONDO,2061 CASEROS AV.
-34.6084721257413,-58.4349433479819,INST. PASTEUR,4821 DIAZ VELEZ AV.
-34.6302112044495,-58.3758433488021,HOSP. FERRER,849 FINOCHIETTO ENRIQUE DR.
-34.6357022351559,-58.3823284509488,HOSP. TOBAR GARCIA,"315 CARRILLO, RAMON, DR."
-34.6364350546569,-58.3821283746958,HOSP. BORDA,"375 CARRILLO, RAMON, DR."
-34.6388917320834,-58.3601201271455,HOSP. ODONTOLOGICO INFANTIL QUINQUELA MARTIN,1795 DON PEDRO DE MENDOZA AV.
-34.5538963316473,-58.4409882382439,INST. DE REHAB. PSICOFISICA,955 ECHEVERRIA
-34.634856308415,-58.4027506275377,HOSP. SARDA,"2151 LUCA, ESTEBAN DE"
-34.6054342750207,-58.4601855775528,HOSP. LAGLEYZE,"4151 JUSTO, JUAN B. AV."
-34.6146348348429,-58.4276597542837,HOSP. ODONTOLOGICO DUEÑAS,15 MUÑIZ
-34.6070507603866,-58.4332484381295,HOSP. CURIE,150  PATRICIAS ARGENTINAS AV.
-34.6255031952483,-58.4323966950244,HOSP. DE QUEMADOS A. U. ILLIA,"369 GOYENA, PEDRO AV."
-34.6227125075124,-58.3940641604746,HOSP. SANTA LUCIA,2021 SAN JUAN AV.
-34.6179817540591,-58.5021449222222,HOSP. DE REHAB. ROCCA,1949 SEGUROLA AV.
-34.6375293258416,-58.3937269413225,HOSP. MUÑIZ,2272 USPALLATA
-34.5972098729151,-58.4752588459761,HOSP. T. DE ALVEAR,2630 WARNES AV.
-34.5847659581214,-58.4005134574423,HOSP. RIVADAVIA,2670 LAS HERAS GENERAL AV.
-34.6283448581677,-58.365985088719,HOSP. ARGERICH,750 PI Y MARGALL
-34.581141710889,-58.4068939142787,HOSP. FERNANDEZ,3356 CERVIÑO AV.
-34.6089728538414,-58.437981361705,HOSP. DURAND,5044 DIAZ VELEZ AV.
-34.6241704940114,-58.4695020363265,HOSP. ALVAREZ,"2701 ARANGUREN, JUAN F., DR."
-34.6176598438607,-58.4096107488155,HOSP. RAMOS MEJIA,"609 URQUIZA, GRAL."
-34.565051956568,-58.4710781593251,HOSP. PIROVANO,3555 MONROE AV.
-34.599979524264,-58.5110525000569,HOSP. ZUBIZARRETA,3952 NUEVA YORK
-34.6253367952668,-58.50761514092,HOSP. VELEZ SARSFIELD,"1550 CALDERON DE LA BARCA, PEDRO"
-34.6491867281064,-58.5156291936709,HOSP. SANTOJANNI,950 PILAR
-34.6431172591975,-58.4108602188291,HOSP. PENNA,"3380 CHUTRO, PEDRO, PROF., DR."
-34.5873917690227,-58.4710976282168,HOSP. TORNU,3002 COMBATIENTES DE MALVINAS AV.
-34.643894071866,-58.4541167814714,HOSP. PIÑERO,1301 VARELA AV.
-34.6718480140772,-58.4566428491103,HOSP. GRIERSON,"4402 FERNANDEZ DE LA CRUZ, F., GRAL."
-34.6299453614404,-58.3918791813882,HOSP. GARRAHAN,1881 COMBATE DE LOS POZOS
-34.6419888014928,-58.3814293381891,TALLERES DE REHAB. PSIQUIATRICA,2215 SUAREZ AV.
